Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
12	B1	210831_Cstr	1	0	0	0.104	0.104	1.654	0.4792208333333333		0.104	3.206141335307644e-06	0.12678635492647933	0.060701744039021115	4.958390522817839	1.7848003981010607	0.075	38.952485437172086	16.59970755022397	0.017794684287295304	0.05	0.075	0.0	0.0	0.022101631967986705	0.0	0.0	0.07916666666666666	FALSE
12	B1	210831_Cstr	1	0	0	0.104	0.104	1.654	0.4792208333333333		0.104	3.206141335307644e-06	0.010754396044843718	0.009076162169913558	0.5419897782722947	0.4330736462425744	0.1125	16.211589412771154	7.424952342304298	0.0427562753355879	0.0875	0.1125	0.0	0.0	0.07922452189213836	0.07916666666666666	0.07916666666666666	0.11666666666666667	FALSE
12	B1	210831_Cstr	1	0	0	0.104	0.104	1.654	0.4792208333333333		0.104	3.206141335307644e-06	0.1185041090211791	0.09720752291622942	0.5702645732978693	0.4512441231867701	0.39166666666666666	7.294318505224625	0.2835310944491737	0.09502562577483722	0.125	0.39166666666666666	0.0	0.0	0.11670880385480036	0.11666666666666667	0.11666666666666667	0.3958333333333333	FALSE
14	B3	210831_Cstr	1	0	0	0.106	0.106	0.936	0.28674583333333337		0.106	5.322187018703572e-06	0.10500422997358093	0.058024075535613936	3.414419952800916	1.4848764444056362	0.08333333333333333	26.00145491780819	14.287109133411425	0.026658015205342	0.05	0.08333333333333333	0.0	0.0	0.018935908863550007	0.0	0.0	0.0875	FALSE
14	B3	210831_Cstr	1	0	0	0.106	0.106	0.936	0.28674583333333337		0.106	5.322187018703572e-06	0.22136979417385685	0.16457403779344998	0.8839674072237864	0.6333798762294682	0.18333333333333332	13.935674524466123	-1.8233374937544593	0.04973904774706266	0.0875	0.20833333333333334	0.10760918684786192	0.05881455133621394	0.0875	0.0875	0.0875	0.3958333333333333	FALSE
18	B7	210831_Cstr	1	0	0	0.107	0.107	1.547	0.3971708333333333		0.107	8.073959474174899e-06	0.49414322726036997	0.17329804810385496	7.965218875209967	2.1933525211717817	0.1375	31.396702219702245	0.4651564211316471	0.022077069614176787	0.05416666666666667	0.1375	0.0	0.0	0.02352165156910654	0.0	0.0	0.14166666666666666	FALSE
18	B7	210831_Cstr	1	0	0	0.107	0.107	1.547	0.3971708333333333		0.107	8.073959474174899e-06	0.08156105368197526	0.06750138016410555	0.606100208740602	0.4738090100540817	0.39166666666666666	4.0585165182183385	0.6396326529127501	0.17078831081466986	0.2375	0.39166666666666666	0.0	0.0	0.18605488814372778	0.14166666666666666	0.14166666666666666	0.3958333333333333	FALSE
19	B8	210831_Cstr	1	0	0	0.108	0.108	1.504	0.38588333333333336		0.108	9.970045750133866e-06	0.5095122467390465	0.17986850175549238	7.736299974892479	2.167486756198332	0.14166666666666666	28.439318981949835	0.9293507106433679	0.02437284735966706	0.05416666666666667	0.14166666666666666	0.0	0.0	0.02072041363635197	0.0	0.0	0.14583333333333334	FALSE
19	B8	210831_Cstr	1	0	0	0.108	0.108	1.504	0.38588333333333336		0.108	9.970045750133866e-06	0.07761554814268402	0.06456786628615309	0.5912072466229592	0.46449300273463523	0.39166666666666666	3.89074642010962	0.46640288223333104	0.1781527516101695	0.24166666666666667	0.39166666666666666	0.0	0.0	0.1901503102710313	0.14583333333333334	0.14583333333333334	0.3958333333333333	FALSE
20	B9	210831_Cstr	1	0	0	0.107	0.107	1.564	0.4050125		0.107	5.481519574901164e-06	0.4686430967001192	0.1665117270378905	8.059777143647496	2.203844521920954	0.13333333333333333	28.68475529309237	1.1855078458122497	0.024164305167590654	0.05416666666666667	0.13333333333333333	0.0	0.0	0.01977835374970513	0.0	0.0	0.1375	FALSE
20	B9	210831_Cstr	1	0	0	0.107	0.107	1.564	0.4050125		0.107	5.481519574901164e-06	0.085615461105141	0.07065985851378953	0.6085830879229444	0.4753537218946704	0.39166666666666666	3.896736360476428	0.41024947279380963	0.17787890081308935	0.22916666666666666	0.39166666666666666	0.0	0.0	0.1766089693415706	0.1375	0.1375	0.3958333333333333	FALSE
39	D4	210831_Cstr	1	0	0	0.1	0.1	0.113	0.044004166666666664		0.1	3.222965702852764e-07	0.0042236847721509475	0.004089222690707291	0.07709933616279363	0.07427162805538681	0.0625	2.9591166310242913	-0.07213037522309443	0.23424125068027954	0.0	0.07083333333333333	0.00037140817563963147	0.00034488204834530467	0.0	0.0	0.0	0.075	FALSE
39	D4	210831_Cstr	1	0	0	0.1	0.1	0.113	0.044004166666666664		0.1	3.222965702852764e-07	0.0038168274071330235	0.003782155419716907	0.031938620767729686	0.03143918929034173	0.39166666666666666	0.23320173860928492	0.22283496228154537	2.9723070878183737	0.38333333333333336	0.39166666666666666	0.0	0.0	0.25672279341282533	0.075	0.075	0.3958333333333333	FALSE
40	D5	210831_Cstr	1	0	0	0.099	0.099	0.131	0.047404166666666664		0.099	6.169914600888454e-07	0.017934658446442438	0.01690294891926607	0.16753949340492502	0.15489853731634307	0.17083333333333334	1.8229483150431494	0.46723217756023877	0.38023413765493314	0.0	0.17083333333333334	0.0	0.0	0.0	0.0	0.0	0.175	FALSE
