Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	210831_Cstr	1	0	0	0.099	0.099	1.08	0.337975		0.099	0.29831294820420307	0.7936162274071887	0.9810294181620208	2.3897569438168462	0.016996890803888443	0.01586045116722179	28.384988422867067	-0.49861970740767064	0.02441949844170248	0.014280032557187461	0.0	0.2875	0.04583333333333333	0.3958333333333333	0.0	1.126904409513728e-05	FALSE
1	A2	210831_Cstr	1	0	0	0.102	0.102	1.085	0.337075		0.102	0.29616980453566805	0.7817382376344812	0.9818946165183755	2.363576031936052	0.012188928333342286	0.01130655232433142	26.9218277570785	-0.6469102419448522	0.025746661289655474	0.013633518226174923	0.0	0.2708333333333333	0.04583333333333333	0.3958333333333333	0.0	1.4422772686287924e-05	FALSE
2	A3	210831_Cstr	1	0	0	0.102	0.102	0.83	0.25877083333333334		0.102	0.21786816195261288	0.6868093649904538	0.7280461872197994	2.096802719101035	0.0020625919680945515	0.0024872720649753433	23.951844907685384	-0.6631144460431293	0.028939197929489617	0.014303839358178944	0.0	0.3875	0.04583333333333333	0.3958333333333333	0.0	8.447872739691324e-06	FALSE
3	A4	210831_Cstr	1	0	0	0.09	0.09	0.092	0.03664166666666667		0.09	0.00019641868184520604	0.007056141269467818	0.0009825634104375092	0.023001936651076825	0.001088965174386558	0.011894940131605	0.3033012736722403	-0.09972900744965545	2.285342135783407	-0.0404729486585484	0.0	0.075	0.0	0.26666666666666666	0.0	8.104513014229823e-08	TRUE
4	A5	210831_Cstr	1	0	0	0.087	0.087	0.09	0.03573333333333334		0.087	0.00035476405770647467	0.010579270143424108	0.001748684126131328	0.03606192048632609	0.001230336907220131	0.013734800853867912	0.48194746352417983	-0.13620978686374557	1.4382214515486693	-0.034202103052415764	0.0	0.08333333333333333	0.0	0.14583333333333334	0.0	6.570836396445922e-08	TRUE
5	A6	210831_Cstr	1	0	0	0.087	0.087	0.089	0.03558333333333333		0.087	0.0006361864990120421	0.008901449846030076	0.0017799640917156856	0.02438423271165674	0.00016310860496565605	0.0018313244315610912	1.8988977922081145	-0.16959178178527143	0.3650260605937753	-0.0022200791535907974	0.0	0.025	0.0	0.03333333333333333	0.0	1.3731832955504601e-08	FALSE
6	A7	210831_Cstr	1	0	0	0.099	0.099	1.536	0.44201250000000003		0.099	0.4025264937176265	0.889376768644386	1.436108625471967	2.7410467898036046	0.008776336845789157	0.005734575113280016	30.7798107573456	-0.21269149411763832	0.022519540033056434	0.012295304610371469	0.0	0.3416666666666667	0.04583333333333333	0.35833333333333334	0.0	7.264168657456492e-06	FALSE
7	A8	210831_Cstr	1	0	0	0.102	0.102	1.534	0.4200708333333333		0.102	0.3794811768001683	0.8621443845032122	1.4305843653588366	2.7093906814793627	0.0	0.0	29.497739195547858	0.024449439190938164	0.023498315445970284	0.010572542215651314	0.0	0.3958333333333333	0.04583333333333333	0.3958333333333333	0.0	8.384816862919423e-06	FALSE
8	A9	210831_Cstr	1	0	0	0.1	0.1	1.494	0.4031916666666666		0.1	0.36300333829751547	0.8449353318517904	1.3940877883567242	2.704413871623956	0.007236407671885381	0.0048536060696307	26.426182882873395	-0.7285366503112508	0.026229561175449542	0.0106977146736984	0.0	0.37916666666666665	0.041666666666666664	0.3958333333333333	0.0	3.929679204009372e-06	FALSE
9	A10	210831_Cstr	1	0	0	0.088	0.088	0.09	0.03594583333333333		0.088	0.0007494978044428285	0.008379602790067373	0.002103958238930115	0.02352093642004844	0.00010941960651010552	0.0012152379473139158	0.9270161797108878	-0.11262343255764967	0.7477185358038949	0.01269370897755762	0.004166666666666667	0.05	0.025	0.058333333333333334	0.0	5.824008039753599e-09	FALSE
10	A11	210831_Cstr	1	0	0	0.087	0.086	0.087	0.034641666666666654		0.087	0.00010203873329623896	-0.0018205020626395115	0.0006829932454149312	0.0003904117657613858	3.3041201097080974e-05	0.0003797077573521021	0.21417154463665308	-0.02025494362587691	3.236411175611052	0.19137115086302653	0.03333333333333333	0.21666666666666667	0.1625	0.23333333333333334	0.0	3.6599051990886494e-08	TRUE
11	A12	210831_Cstr	1	0	0	0.086	0.085	0.087	0.034416666666666665		0.086	4.8093012297236006e-05	0.00017919894579059551	0.0003590040805817041	0.003219915222118764	0.0	0.0	0.028605136881359534	0.012779987899323393	24.231563143179116	0.2705816279036167	0.0	0.3958333333333333	0.32916666666666666	0.3958333333333333	0.0	4.813835593890739e-08	TRUE
12	B1	210831_Cstr	1	0	0	0.104	0.104	1.654	0.4792208333333333		0.104	0.4376226262504913	0.8943531760001415	1.5502094674844993	2.76668298274231	0.0004163566839476829	0.00025172810704532367	38.952485437172086	-0.5591650156187793	0.017794684287295304	0.022103522099980455	0.0	0.39166666666666666	0.05	0.3958333333333333	1.0	3.206141335307644e-06	FALSE
13	B2	210831_Cstr	1	0	0	0.107	0.107	1.181	0.37119166666666664		0.107	0.3284102686906395	0.7976817076406868	1.0710997519867675	2.3987770010968674	0.016805062995669973	0.014368022286927129	32.49021786368675	-1.389114533708428	0.02133402685903972	0.02068675435994446	0.0	0.18333333333333332	0.05	0.2125	0.0	1.5400006589362616e-05	FALSE
14	B3	210831_Cstr	1	0	0	0.106	0.106	0.936	0.28674583333333337		0.106	0.24436815953680138	0.7071085568039397	0.8283418624710368	2.17633746673245	0.05485165451838292	0.060504066384767796	26.00145491780819	-1.8233374937544593	0.026658015205342	0.018958231174133332	0.0	0.18333333333333332	0.05	0.20833333333333334	1.0	5.322187018703572e-06	FALSE
15	B4	210831_Cstr	1	0	0	0.103	0.101	0.132	0.04172083333333333		0.103	0.00010287400380060231	0.004427943922663868	0.027584025009755334	0.2452467776625582	0.0	0.0	6.109229426752253	6.109229426752253	0.11345901948364566	0.35568968173160675	0.0	0.3958333333333333	0.3958333333333333	0.3958333333333333	0.0	2.380280770275763e-07	FALSE
16	B5	210831_Cstr	1	0	0	0.102	0.099	0.112	0.0404625		0.102	-0.000349758047907619	-0.003414872476957098	0.009450279434741984	0.08887427868950037	0.0	0.0	3.2917797557757074	3.2917797557757074	0.21056912429932764	0.3688344800432361	0.0	0.3958333333333333	0.3958333333333333	0.3958333333333333	0.0	9.791560242389172e-08	FALSE
17	B6	210831_Cstr	1	0	0	0.106	0.103	0.124	0.0421		0.106	-0.00043620793821192713	-0.003048690979388482	0.017148793833567752	0.15270797435696437	0.0	0.0	6.148541392393565	6.148541392393565	0.11273359587648643	0.37099687788621194	0.0	0.3958333333333333	0.3958333333333333	0.3958333333333333	0.0	1.4457995612420318e-07	FALSE
18	B7	210831_Cstr	1	0	0	0.107	0.107	1.547	0.3971708333333333		0.107	0.3543502673855714	0.8099448337947242	1.4396555592373868	2.671050848240526	0.0	0.0	31.396702219702245	0.27586644173665453	0.022077069614176787	0.02350806921617891	0.0	0.3958333333333333	0.05416666666666667	0.3958333333333333	1.0	8.073959474174899e-06	FALSE
19	B8	210831_Cstr	1	0	0	0.108	0.108	1.504	0.38588333333333336		0.108	0.34283628001873334	0.7967364236736125	1.3955821048679584	2.633213651261684	0.0	0.0	28.439318981949835	0.12739114189361603	0.02437284735966706	0.020848266586829402	0.0	0.3958333333333333	0.05416666666666667	0.3958333333333333	1.0	9.970045750133866e-06	FALSE
20	B9	210831_Cstr	1	0	0	0.107	0.107	1.564	0.4050125		0.107	0.3623190620790049	0.8176182664257614	1.4559966180370487	2.6813576424110863	0.0	0.0	28.68475529309237	0.03773655914145638	0.024164305167590654	0.019866908352591375	0.0	0.3958333333333333	0.05416666666666667	0.3958333333333333	1.0	5.481519574901164e-06	FALSE
21	B10	210831_Cstr	1	0	0	0.096	0.095	0.096	0.03800416666666667		0.096	-8.505545349570855e-06	-0.004144429317871526	0.0	-0.010137284542456826	0.0	0.0	-0.0010757900718579448	-0.0011571530554740379	-644.3145356071602	-9.438380891705252	0.0	0.0	0.3958333333333333	0.0	0.0	1.0015459737664435e-08	FALSE
22	B11	210831_Cstr	1	0	0	0.096	0.096	0.096	0.038400000000000004		0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	FALSE
23	B12	210831_Cstr	1	0	0	0.094	0.094	0.094	0.037599999999999995		0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	FALSE
24	C1	210831_Cstr	1	0	0	0.097	0.097	1.404	0.4475875		0.097	0.4089465498115138	0.8986193132503623	1.3079484380715216	2.6727577917914616	0.0031414681024639624	0.0022391495167468634	39.16517268659669	-0.6609120433794068	0.017698049900266563	0.022275547840021018	0.0	0.3875	0.05	0.3958333333333333	0.0	7.841640005556262e-06	FALSE
25	C2	210831_Cstr	1	0	0	0.101	0.101	1.438	0.44365		0.101	0.40345849040116766	0.8734278236768619	1.3382847554427433	2.656413494438077	0.002372366357534794	0.0016502622347829288	39.35587025063773	-0.6342051595341491	0.017612294586440085	0.027875591945698955	0.0	0.3875	0.05416666666666667	0.3958333333333333	0.0	7.040348249330409e-06	FALSE
26	C3	210831_Cstr	1	0	0	0.1	0.1	1.236	0.37407499999999994		0.1	0.3340417405823952	0.8184651307418083	1.1357124463839479	2.5142873120872977	0.001696859913709714	0.0013740521690124297	34.69307884919536	-0.6494220273306615	0.019979408099607784	0.02546236073252486	0.0	0.39166666666666666	0.05416666666666667	0.3958333333333333	0.0	1.6636270836433895e-05	FALSE
27	C4	210831_Cstr	1	0	0	0.09	0.09	0.092	0.03627916666666667		0.09	0.0002882695759364953	0.003067005537168109	0.002103683541092291	0.022842209169679016	0.0020812234180031253	0.022861823798273114	0.9565009203463801	-0.4841716069939929	0.7246696430871536	0.0003940967664106164	0.0	0.0375	0.004166666666666667	0.17916666666666667	0.0	2.4385750981173542e-08	FALSE
28	C5	210831_Cstr	1	0	0	0.093	0.092	0.095	0.037270833333333336		0.093	-6.910476712720977e-05	0.0007433258783195542	0.0012689877526368964	0.01725196929294081	0.002310612057561501	0.024723458421166536	0.3045570158270289	-0.2139267708943603	2.2759192681137037	-0.01209610962526448	0.0	0.0625	0.0125	0.10833333333333334	0.0	1.1572752918647847e-07	TRUE
29	C6	210831_Cstr	1	0	0	0.09	0.089	0.092	0.036033333333333334		0.09	-0.0001775201490523007	0.000358972804699447	0.0006046082382434731	0.012494958783253185	0.002013332745852761	0.022340282235813778	0.17909975518317117	-0.15642220032862011	3.8701738025886243	-0.03259859806183062	0.0	0.058333333333333334	0.0	0.12083333333333333	0.0	1.0882452720186942e-07	TRUE
30	C7	210831_Cstr	1	0	0	0.101	0.101	1.601	0.47973750000000004		0.101	0.4395607283380809	0.9012893978834883	1.4821876436077979	2.7515522973711803	0.14826740095718494	0.09838507584814948	33.35483932261596	-2.326948130308818	0.02078100793278182	0.02316588256654732	0.0	0.2	0.0625	0.3958333333333333	0.0	0.000568381626597603	FALSE
