Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
G7	210831_Cstr	1	0	0	1	0.092	0.092	0.247	0.08179166666666667	
G8	210831_Cstr	1	0	0	1	0.093	0.093	0.252	0.0796125	
G9	210831_Cstr	1	0	0	1	0.094	0.094	0.265	0.08182083333333334	
G10	210831_Cstr	1	0	0	1	0.082	0.082	0.084	0.0334625	
G11	210831_Cstr	1	0	0	1	0.084	0.083	0.084	0.03344583333333333	
G12	210831_Cstr	1	0	0	1	0.082	0.082	0.083	0.032875	
H1	210831_Cstr	1	0	0	1	0.096	0.096	1.429	0.37501249999999997	
H2	210831_Cstr	1	0	0	1	0.096	0.096	1.458	0.3818583333333333	
H3	210831_Cstr	1	0	0	1	0.096	0.096	1.439	0.3806541666666666	
H4	210831_Cstr	1	0	0	1	0.083	0.083	0.085	0.0335	
H5	210831_Cstr	1	0	0	1	0.084	0.083	0.084	0.03336666666666667	
H6	210831_Cstr	1	0	0	1	0.082	0.082	0.084	0.03292083333333333	
H7	210831_Cstr	1	0	0	1	0.095	0.095	0.313	0.10450833333333333	
H8	210831_Cstr	1	0	0	1	0.092	0.092	1.183	0.27282083333333335	
H9	210831_Cstr	1	0	0	1	0.091	0.091	0.382	0.12228333333333334	
H10	210831_Cstr	1	0	0	1	0.086	0.086	0.086	0.03439999999999999	
H11	210831_Cstr	1	0	0	1	0.085	0.084	0.085	0.03365	
H12	210831_Cstr	1	0	0	1	0.082	0.082	0.082	0.0328	
