Time,SNM(+Vit)+cmp
15.0,0.017666666666666664
30.0,0.01933333333333334
45.0,0.024999999999999994
60.0,0.028666666666666674
75.0,0.032
90.0,0.03666666666666665
105.0,0.04033333333333333
120.0,0.043
135.0,0.05233333333333334
150.00000000000003,0.05933333333333332
165.0,0.06733333333333331
180.0,0.07566666666666665
195.0,0.08566666666666665
210.0,0.097
225.0,0.11033333333333332
240.0,0.12399999999999999
255.0,0.141
270.0,0.15866666666666668
285.00000000000006,0.183
300.0,0.20633333333333337
315.0,0.22966666666666669
330.0,0.25000000000000006
345.0,0.2733333333333334
360.0,0.29433333333333334
375.0,0.3083333333333334
390.0,0.324
405.0,0.33233333333333337
420.0,0.33866666666666667
435.0,0.3513333333333333
450.0,0.35999999999999993
465.0,0.3666666666666667
480.0,0.37466666666666665
495.0,0.3873333333333333
510.00000000000006,0.39466666666666667
525.0,0.4046666666666667
540.0000000000001,0.4086666666666667
555.0000000000001,0.419
570.0,0.42400000000000004
585.0,0.4266666666666666
600.0,0.43299999999999994
615.0,0.43666666666666665
630.0,0.4383333333333333
645.0,0.44733333333333325
660.0,0.44633333333333336
675.0,0.456
690.0,0.4556666666666667
705.0,0.458
720.0,0.46266666666666667
735.0,0.4636666666666668
750.0,0.4613333333333333
765.0,0.4666666666666666
780.0,0.4663333333333333
795.0,0.4666666666666666
810.0,0.4683333333333334
825.0,0.47000000000000003
840.0,0.4713333333333333
855.0,0.47200000000000003
870.0,0.47533333333333333
885.0,0.4729999999999999
900.0,0.477
915.0,0.4753333333333332
930.0,0.48299999999999993
945.0,0.47533333333333333
960.0,0.47766666666666663
975.0,0.4793333333333332
990.0000000000001,0.48166666666666674
1005.0000000000001,0.479
1020.0000000000001,0.4816666666666667
1035.0,0.482
1050.0000000000002,0.4800000000000001
1065.0000000000002,0.483
1080.0000000000002,0.4833333333333333
1095.0000000000002,0.4843333333333334
1110.0,0.48233333333333334
1125.0,0.48266666666666663
1140.0,0.4836666666666666
1155.0,0.49000000000000005
1170.0,0.486
1185.0,0.48900000000000005
1200.0,0.48566666666666664
1215.0,0.48533333333333334
1230.0,0.48699999999999993
1245.0,0.49166666666666664
1260.0,0.49199999999999994
1275.0,0.4886666666666667
1290.0,0.4896666666666667
1305.0,0.49
1320.0,0.49600000000000005
1335.0,0.49166666666666664
1350.0,0.4986666666666666
1365.0,0.499
1380.0,0.4956666666666666
1395.0,0.49333333333333323
1410.0,0.49433333333333335
1425.0,0.497
1440.0,0.495
