focus,cond,14-1,14-2,14-3,16-1,16-2,16-3
OD,cent morning,0.33,0.36,0.32,0.51,0.58,0.54
CFU,cent morning,4.84e7,5.9e7,5.6e7,4.17e7,5.83e7,6.11e7
OD,not cent morning,0.33,0.36,0.32,0.42,0.40,0.42
CFU,not cent morning,4.91e7,3.62e7,4.95e7,4.07e7,3.3e7,4.05e7
OD,cent log,0.353,0.352,0.266,0.484,0.529,0.494
CFU,cent log,2.5e7,2.95e7,1.99e7,3.46e7,3.82e7,3.46e7
OD,not cent log,0.302,0.311,0.301,0.457,0.475,0.464
CFU,not cent log,1.95e7,2.47e7,2.14e7,2.9e7,3.25e7,3.06e7
