medium,short,16-1,16-2,16-2,16,15-1,15-2,15-3,15
CGXII,+/-,
CGXII+cobalt+pnto+cys__L,+/+,-,-,-,-,
CGXII+cobalt+pnto+cys__L+arg__L+acgam,+/++,
CGXII-ni-PCA-btn,-/-,
CGXII-ni-PCA-btn+cobalt+pnto+cys__L,-/+,-,-,-,-,
CGXII-ni-PCA-btn+cobalt+pnto+cys__L+arg__L+acgam,-/++,
