strain,short,pval,significance
1115,RPMI,0.00154335686940222,**
1116,RPMI,0.0001479155937954903,***
1116,RPMI+nac,0.004685311855806959,**
1197,RPMI,0.0008953803489686055,***
TS,RPMI,0.0017909175738619525,**
