strain,short,pval,significance
1115,LB,0.007942101607741612,**
1116,LB,0.007657037435067661,**
1116,LB+nac,0.004065807073756102,**
1197,LB,0.0016408968709727186,**
TS,LB,0.00113646434338568,**
