Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
96	A1	220628_Cstr	1	0	0	0.076	0.076	0.536	0.06770000000000001		0.076	0.03602702352799503	0.26057976944522565	0.30431394737635675	1.6120620617267662	0.2789924281452837	1.317763197341153	28.312441774809685	-16.317318559162622	0.02448206997026503	0.10937881333208999	0.0	0.18333333333333332	0.14166666666666666	0.2125	0.0	0.0012861514159897792	TRUE
97	A2	220628_Cstr	1	0	0	0.077	0.077	0.287	0.0755		0.077	0.04450748051800879	0.30457312648128276	0.20520057458042362	1.3001231497395602	0.11445303449371487	0.5192648057224443	36.80875557867073	-7.0465636747654345	0.018831040866852822	0.12985080330459636	0.0	0.30416666666666664	0.15	0.3958333333333333	0.0	3.507886817949161e-05	FALSE
98	A3	220628_Cstr	1	0	0	0.08	0.08	0.31	0.07292499999999999		0.08	0.04094951102957129	0.3058300152756932	0.19327125638934833	1.2272755049417192	0.09809670389935142	0.4453337337590977	30.076532757145152	-10.37292873041527	0.02304611326567479	0.06523023957390317	0.0	0.11666666666666667	0.09166666666666666	0.12916666666666668	0.0	7.1657076690822e-05	FALSE
99	A4	220628_Cstr	1	0	0	0.084	0.084	0.41	0.07030416666666667		0.084	0.03962537139597262	0.27373462957029626	0.15915250678721343	1.0182814359759877	0.04660987276048177	0.22368229027270914	10.297505640387806	-3.9916173227649656	0.06731214381095899	0.01698791855353304	0.0	0.15833333333333333	0.04583333333333333	0.22916666666666666	0.0	0.0014892859921305022	TRUE
100	A5	220628_Cstr	1	0	0	0.079	0.079	0.369	0.06652916666666667		0.079	0.03413389786868329	0.24460669796838835	0.2534215973333973	1.4399466779574113	0.21342338902882574	1.0219544426909462	26.849973297850152	-17.728824875336503	0.025815563124431295	0.09631207916967174	0.0	0.175	0.125	0.24583333333333332	0.0	0.0004485381182781372	FALSE
101	A6	220628_Cstr	1	0	0	0.075	0.075	0.341	0.06815833333333332		0.075	0.03799375788357075	0.27406749835769206	0.23791436514520847	1.4280232848628067	0.09404130571702071	0.35761735620111135	28.98201453858854	-12.119049680154744	0.0239164596248837	0.14253479499323174	0.0	0.20416666666666666	0.17083333333333334	0.225	0.0	0.00016378785293095688	FALSE
102	A7	220628_Cstr	1	0	0	0.077	0.077	0.233	0.06477083333333333		0.077	0.033693841351779025	0.2664031568257025	0.1388288983437345	1.0324864330507433	0.01636840875707221	0.07872173345390676	16.73846829556472	-3.1855639772158577	0.041410430651149376	0.09710558794609453	0.0	0.17916666666666667	0.13333333333333333	0.19583333333333333	0.0	6.955590026281927e-05	FALSE
103	A8	220628_Cstr	1	0	0	0.079	0.079	0.281	0.06552916666666667		0.079	0.033891417459410746	0.2390684992885631	0.17996543395427805	1.1870733275992127	0.022399376037185087	0.09048353083031757	32.220299264495466	-6.185408873656529	0.021512748062018944	0.16939686124707004	0.0	0.21666666666666667	0.19166666666666668	0.22916666666666666	0.0	3.676669428855957e-05	FALSE
104	A9	220628_Cstr	1	0	0	0.079	0.078	0.614	0.064025		0.079	0.03170910850933918	0.21572337857622492	0.21929223722548258	1.3291285622669424	0.05832674671354393	0.21745638329746364	27.745852637179535	-7.175220582484236	0.024982010451216976	0.19392422884967508	0.0	0.25833333333333336	0.21666666666666667	0.275	0.0	0.0011813837356958166	TRUE
105	A10	220628_Cstr	1	0	0	0.08	0.08	0.081	0.032212500000000005		0.08	0.00014899888033675213	0.0026195237312253727	0.0009138766519663777	0.01326008355560168	0.0001835323863331323	0.002266501521478977	0.097577016372414	-0.05404029844177165	7.103590643871182	0.1531538975810273	0.0	0.325	0.22916666666666666	0.3958333333333333	0.0	1.029588807417832e-07	FALSE
