short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
CGXII,0.182,0.183,0.173,0.310,0.279,0.278,0.141,0.162,0.181,0.196,0.284,0.292,0.215,0.206,0.173,0.213,0.3,0.15,0.180,0.178,0.169,0.169,0.206,0.167
CGXII+nac,,,,,,,,,,,,,,,,,,,0.159,0.159,0.165,0.217,0.122,0.153
CGXII+Tween+nac,,,,,,,,,,,,,,,,,,,0.182,0.188,0.193,0.324,0.330,0.335
CGXII+Tween+nac+CasA,,,,,,,,,,,,,,,,,,,0.188,0.188,0.197,1.151,1.125,1.169
