short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
RPMI,0.216,0.224,0.205,4.363,3.883,3.868,0.223,0.205,0.203,3.662,3.389,3.723,0.231,0.250,0.225,3.808,3.859,3.411,0.212,0.208,0.243,6.165,5.916,6.092
RPMI+nac,,,,,,,,,,,,,,,,,,,0.241,0.208,0.255,6.021,6.103,4.971
LB,0.220,0.230,0.222,9.026,9.813,10.092,0.239,0.202,0.204,10.186,11.090,11.646,0.231,0.245,0.221,10.121,12.641,9.542,0.269,0.207,0.257,9.690,12.788,10.505
LB+nac,,,,,,,,,,,,,,,,,,,0.259,0.229,0.258,9.811,8.727,10.873
