short,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
CGXII+adds,0.207,0.192,0.202,0.616,0.564,0.668,0.206,0.191,0.209,0.646,0.553,0.545,0.193,0.194,0.201,0.248,0.270,0.250
CGXII+adds+CasA,0.205,0.210,0.199,2.646,2.677,2.562,0.209,0.205,0.215,2.374,2.366,2.563,0.198,0.203,0.203,1.042,1.215,1.101
