short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
M9+adds,0.188,0.185,0.185,0.356,0.393,0.348,0.187,0.170,0.175,0.756,0.716,0.685,0.186,0.189,0.186,0.678,0.593,0.542,0.196,0.202,0.187,0.362,0.320,0.307
M9+adds+CasA,0.212,0.208,0.223,1.404,1.550,1.490,0.204,0.193,0.191,2.754,2.548,2.458,0.199,0.202,0.203,2.056,2.144,2.141,0.295,0.200,0.203,1.302,1.122,1.083
