short,14-1,14-2,14-3,15-1,15-2,15-3,16-1,16-2,16-3,17-1,17-2,17-3
+/-,0.153,0.160,0.135,0.057,0.076,0.071,0.128,0.174,0.135,0.080,0.081,0.083
+/+,0.128,0.195,0.156,,,,,,,0.125,0.069,0.048
+/++,,,,0.199,0.149,0.198,0.112,0.100,0.111,,,
