short,16-1,16-2,16-3,14-1,14-2,14-3
-/-,0.005,0,0,0.027,0.083,0
-/+,0,0,0,0,0,0
+/-,1.712,0.051,0.069,2.332,0.030,0
+/+,0.404,0.067,0,0,0.001,0
