short,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
not c,0.130,0.121,0.125,0.453,0.271,0.407
+Trace not c,0.129,0.125,0.126,0.535,0.451,0.435
+Sacc not c,0.125,0.119,0.123,0.451,0.356,0.290
+Tween c,0.191,0.199,0.163,0.205,0.794,0.552
+Tween+Trace c,0.201,0.203,0.179,0.231,0.660,0.674
+Tween+Sacc c,0.196,0.191,0.180,0.279,1.222,0.691
+Tween+CasA c,0.191,0.212,0.181,0.778,5.73,7.69
