short,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3
not c,0.079,0.098,0.103,1.292,1.719,1.657
+Trace not c,0.076,0.091,0.095,1.029,1.324,1.868
+Sacc not c,0.074,0.092,0.093,2.731,0.604,1.555
+Tween c,0.216,0.222,0.224,0.478,0.499,0.550
+Tween+Trace c,0.224,0.227,0.226,0.944,1.153,0.871
+Tween+Sacc c,0.203,0.223,0.226,0.476,0.505,0.493
+Tween+CasA c,0.205,0.229,0.233,6.82,4.1,4.91
