short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
M9,0.184,0.186,0.179,0.226,0.289,0.344,0.226,0.210,0.211,1.079,1.024,0.990,0.199,0.211,0.212,0.262,0.293,0.298,0.238,0.196,0.234,0.592,0.486,0.587
M9+Tween+nac,,,,,,,,,,,,,,,,,,,0.189,0.206,0.190,2.23,2.57,2.57
M9+Tween+nac+CasA,,,,,,,,,,,,,,,,,,,0.184,0.197,0.193,2.16,2.61,2.22
