,mean,double_std,sem
20,0.04800000000000001,0.014236104336041736,0.005033222956847162
21,0.05444444444444446,0.018421672689833524,0.0065130448398901565
22,0.05766666666666668,0.015501493356973596,0.005480605535617125
23,0.06577777777777781,0.00611817773241609,0.002163102481547976
24,0.07100000000000001,0.012304771733250753,0.004350393766767077
25,0.08133333333333335,0.01389910735209945,0.00491407653055466
26,0.08744444444444445,0.009893257462023157,0.003497794719710494
27,0.09400000000000003,0.01309792180292568,0.004630814663149939
28,0.09966666666666667,0.027904599381941824,0.009865765724632504
29,0.10911111111111114,0.03765470147551136,0.013312947378444592
30,0.12566666666666668,0.01606468406393584,0.005679723519614248
31,0.1351111111111111,0.022326422369078013,0.007893582328405044
32,0.14455555555555558,0.0316290224592603,0.011182548131622286
33,0.1598888888888889,0.05390343446306164,0.019057742019037767
34,0.153,0.02438578821089583,0.008621678104251705
35,0.17655555555555558,0.045647062566912824,0.016138673741155334
36,0.1887777777777778,0.04517073235767158,0.015970265580636092
37,0.19955555555555557,0.07555294113123757,0.02671199850624306
38,0.21244444444444452,0.07696527997082622,0.02721133569164619
39,0.21833333333333335,0.07865724990719518,0.027809537399431327
40,0.23633333333333328,0.0936106989770024,0.0330963800191255
41,0.24644444444444455,0.1242522325109317,0.043929798093023706
42,0.2655555555555556,0.1514232071193877,0.053536188291567074
43,0.2607777777777778,0.14193303933306364,0.050180907293413145
44,0.2745555555555556,0.11975942963981717,0.04234135240467397
45,0.2957777777777778,0.1620921853243082,0.05730824171008245
46,0.28800000000000003,0.1414098325461873,0.0499959257599316
47,0.3164444444444445,0.16548141516627213,0.05850651541220871
48,0.3383333333333334,0.1749065358878745,0.061838798800082154
49,0.34344444444444444,0.15420845279549442,0.05452092134398986
50,0.34655555555555556,0.19324161298140288,0.06832122747328817
51,0.3517777777777778,0.1290906466856852,0.045640435829602366
52,0.3422222222222222,0.17458889984938125,0.061726497501698244
53,0.3361111111111111,0.13368213635428966,0.047263772569811464
54,0.3582222222222223,0.14552315160936063,0.05145020366130849
55,0.3587777777777778,0.1340075546055446,0.047378825295903565
56,0.37822222222222224,0.16308628330570643,0.05765970842198773
57,0.34588888888888897,0.16413303848094588,0.0580297922633147
58,0.3521111111111112,0.12378276471102982,0.043763816160594035
59,0.35544444444444445,0.16222557074169638,0.057355400576655745
60,0.3604444444444444,0.1774555412935941,0.0627400083039149
61,0.37599999999999995,0.1721222648993269,0.060854410351750654
62,0.3451111111111111,0.13555519125634105,0.04792599748119908
63,0.3478888888888889,0.11926234180511258,0.04216560531529149
64,0.3832222222222223,0.1651668815635632,0.05839531099051545
65,0.3866666666666667,0.1579460761239828,0.05584237074453744
66,0.3854444444444445,0.18411375978782768,0.06509404402786201
67,0.3567777777777778,0.12543297851348917,0.04434725484565735
68,0.37855555555555553,0.17718317229130381,0.06264371131966266
69,0.36300000000000004,0.17590232980159645,0.062190865114610694
70,0.3712222222222222,0.18108343346795475,0.06402266188286691
71,0.36777777777777776,0.19196167312934445,0.06786870039883747
72,0.3773333333333333,0.19921252377706977,0.07043226323002619
73,0.39622222222222225,0.22263694634211817,0.07871404725058866
74,0.3857777777777778,0.21420401029087047,0.07573255411701375
75,0.39733333333333326,0.24048531178678073,0.08502439737009691
76,0.391,0.20869399891991422,0.07378447091460469
77,0.38455555555555554,0.2364812001506491,0.0836087301248286
78,0.3541111111111111,0.12372290824536646,0.04374265370420982
79,0.353888888888889,0.21196598842010847,0.07494129389638396
80,0.34088888888888896,0.19583086680873807,0.06923666694304915
81,0.3378888888888889,0.12828248150752464,0.04535470629070428
82,0.31688888888888894,0.11349313352808924,0.04012588216791111
83,0.32044444444444453,0.1147781542426869,0.04058020559853971
84,0.2906666666666667,0.090908175079562,0.0321408935320261
85,0.27666666666666667,0.06621849355647473,0.023411772916870494
86,0.2628888888888889,0.06544284095375726,0.023137538309257237
87,0.2336666666666667,0.016573070526208086,0.005859465277082321
88,0.22622222222222224,0.014820739556029439,0.005239922721134059
89,0.20011111111111113,0.011979406197283202,0.0042353596783435525
90,0.20333333333333337,0.038670497894485456,0.01367208564652539
91,0.1867777777777778,0.03803442235594778,0.013447198983201951
92,0.18433333333333338,0.0458629197435947,0.016214990777855105
93,0.17755555555555558,0.04994910990445088,0.017659677163834684
94,0.17366666666666672,0.04642796092394707,0.01641476300299351
95,0.17177777777777778,0.05162351842252699,0.01825166997263875
96,0.17300000000000004,0.0584465567848099,0.02066397831977185
97,0.17355555555555557,0.04781548899315281,0.01690532825640454
98,0.16055555555555556,0.050556410249185536,0.017874390259824086
99,0.14933333333333332,0.06773149603807342,0.023946700074215746
100,0.15600000000000003,0.06242743936111095,0.022071432852176776
101,0.1507777777777778,0.05215456610338252,0.018439423680771914
102,0.15344444444444447,0.05570912109196761,0.019696148649036408
103,0.149,0.04288831317978604,0.015163308541539544
104,0.1517777777777778,0.019688939051854842,0.006961091158967596
105,0.14366666666666666,0.019482185594936578,0.006887992773257264
106,0.14044444444444446,0.0302107821485093,0.010681124461080212
107,0.14433333333333334,0.02838361551370138,0.010035123502164971
108,0.1396666666666667,0.033866841644342366,0.011973736692042726
109,0.147,0.024878966276012406,0.008796042881339899
110,0.14,0.03386684164434233,0.011973736692042715
111,0.1441111111111111,0.028603720728362817,0.010112942447095782
112,0.14677777777777778,0.03647559644203875,0.012896070795994754
113,0.14677777777777778,0.03446665950282895,0.012185804329649056
114,0.15577777777777777,0.03721542226444554,0.013157638723955131
115,0.14822222222222223,0.03913635548933564,0.013836791178718296
116,0.15388888888888888,0.030764738513474603,0.010876977612154419
117,0.15611111111111112,0.035092822241015405,0.012407186288798045
118,0.159,0.03495181868844064,0.012357334004699539
119,0.15944444444444447,0.03937787810370971,0.013922182317935202
120,0.1608888888888889,0.0420135192821208,0.014854022192949694
121,0.167,0.03208784239598593,0.011344765475923425
122,0.16866666666666666,0.029292901428060594,0.010356604620205373
123,0.1718888888888889,0.04489438910197472,0.015872563485616883
124,0.17244444444444443,0.04526901755745624,0.016005014646265095
125,0.17511111111111113,0.038725370508074626,0.013691486045110553
126,0.17800000000000002,0.04628734728323192,0.016365048573555002
127,0.17777777777777778,0.0373980919827552,0.013222222222222229
128,0.1798888888888889,0.042305181657354085,0.01495714041462191
129,0.17911111111111114,0.03837566101091538,0.013567845066667231
130,0.18066666666666667,0.043827946437049604,0.015495519065559281
