medium,14-0,15-0,16-0,17-0,14-24,15-24,16-24,17-24
M9,0.133,0.030,0.325,0.043,0.377,0.029,0.676,0.016
CGXII,0.162,0.056,0.359,0.070,0.371,0.086,1.155,0.070
