short,14-0-1,14-24-1,14-0-2,14-24-2,14-0-3,14-24-3
not c,0.083,0.712,0.089,0.742,0.081,0.531
+Trace not c,0.088,0.7,0.083,0.719,0.081,0.522
+Sacc not c,0.079,0.729,0.08,0.421,0.074,0.475
+Tween c,0.229,0.724,0.226,0.741,0.227,0.748
+Tween+Trace c,0.224,0.926,0.207,0.674,0.201,0.642
+Tween+Sacc c,0.221,0.736,0.183,0.644,0.211,0.712
+Tween+CasA c,0.234,1.723,0.226,1.738,0.199,1.628
