short,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
+Tween c,0.186,0.181,0.199,0.210,0.209,0.227
+Tween+CasA c,0.187,0.196,0.201,0.752,0.8,0.822
+Tween+Trace c,0.224,0.926,0.207,0.674,0.201,0.642
