short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3
+/-,0.085,0.073,0.066,0.80,0.60,0.52,0.098,0.094,0.093,0.78,0.76,0.81
+/+,0.087,0.076,0.065,2,1.94,1.72,0.091,0.1,0.098,1.28,1.61,1.61
