short,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
not c,0.08,0.084,0.083,0.066,0.112,0.061
+CasA not c,0.081,0.082,0.079,0.943,0.485,1.044
c,0.186,0.181,0.199,0.210,0.209,0.227
+CasA c,0.187,0.196,0.201,0.752,0.8,0.822
