short,14-0-1,14-0-2,14-0-3,14-24-1,14-24-2,14-24-3,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3,16-0-1,16-0-2,16-0-3,16-24-1,16-24-2,16-24-3,17-0-1,17-0-2,17-0-3,17-24-1,17-24-2,17-24-3
M9,0.229,0.218,0.205,0.388,0.397,0.408,0.225,0.227,0.211,0.466,0.614,0.459,0.227,0.259,0.256,0.405,0.443,0.417,0.256,0.214,0.224,0.594,0.297,0.772
+CasA,0.235,0.233,0.206,2.63,1.74,1.72,0.210,0.329,0.213,1.71,1.97,1.65,0.245,0.275,0.286,1.76,2.19,2.12,0.228,0.214,0.219,1.59,1.27,2.36
