mode,14-0,14-24,15-0,15-24,16-0,16-24,17-0,17-24
dir-0dot1-noC,0.109,0.057,0.107,0.043,0.102,0.088,0.095,0
log-0dot2,0.182,0.271,0.173,0.174,0.193,0.278,0.177,0.027
log-0dot4,0.360,0.733,0.331,0.334,0.383,0.8,0.32,0.356
log-0dot1-noC,0.068,0.149,0.071,0.023,0.082,0.421,0.072,0.075
