short,15-0-1,15-0-2,15-0-3,15-24-1,15-24-2,15-24-3
not c,0.087,0.086,0.087,0.896,0.881,0.970
+Trace not c,0.090,0.083,0.094,0.732,1.018,0.874
+Sacc not c,0.082,0.076,0.081,0.924,0.816,0.973
+Tween c,0.105,0.095,0.097,0.809,0.184,0.196
+Tween+Trace c,0.106,0.097,0.105,0.763,0.203,0.225
+Tween+Sacc c,0.102,0.096,0.106,0.555,0.201,0.207
+Tween+CasA c,0.103,0.101,0.107,0.825,0.851,2.7
